ClientName,OwnerRepo,CommitSha,LibraryOld,LibraryNew,Match Results,Time,GitHubRepo,NumberOfMatchedMethods,Number of Times the Library is Used in the Client
rtree-0.8.6,davidmoten/rtree,7c6f20019d46ec21ea5df97597f1dea592a115e4,flatbuffers-java-1.3.0.1,flatbuffers-java-1.10.0.2,github.com/vinayaksh42/UncheckedException/tree/main/Match/flatbuffers-java-1.3.0.1#flatbuffers-java-1.10.0.2#rtree-0.8.6.json,2025-03-20 21:09:02.131405,github.com/davidmoten/rtree,0,94
rtree-0.8.6,davidmoten/rtree,7c6f20019d46ec21ea5df97597f1dea592a115e4,kryo-3.0.3,kryo-5.6.2,github.com/vinayaksh42/UncheckedException/tree/main/Match/kryo-3.0.3#kryo-5.6.2#rtree-0.8.6.json,2025-03-20 21:09:11.571676,github.com/davidmoten/rtree,2,22
rtree-0.8.6,davidmoten/rtree,7c6f20019d46ec21ea5df97597f1dea592a115e4,guava-mini-0.1.1,guava-mini-0.1.7,github.com/vinayaksh42/UncheckedException/tree/main/Match/guava-mini-0.1.1#guava-mini-0.1.7#rtree-0.8.6.json,2025-03-20 21:09:19.472565,github.com/davidmoten/rtree,3,102
tushare-1.0.0,0RaymondJiang0/tushare-java,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,commons-csv-1.3,commons-csv-1.14.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/commons-csv-1.3#commons-csv-1.14.0#tushare-1.0.0.json,2025-03-20 21:10:49.475192,github.com/0RaymondJiang0/tushare-java,1,1
tushare-1.0.0,0RaymondJiang0/tushare-java,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,fastjson-1.2.23,fastjson-2.0.56,github.com/vinayaksh42/UncheckedException/tree/main/Match/fastjson-1.2.23#fastjson-2.0.56#tushare-1.0.0.json,2025-03-20 21:10:55.337035,github.com/0RaymondJiang0/tushare-java,0,1
tushare-1.0.0,0RaymondJiang0/tushare-java,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,httpclient-4.5.2,httpclient-4.5.14,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpclient-4.5.2#httpclient-4.5.14#tushare-1.0.0.json,2025-03-20 21:11:05.934986,github.com/0RaymondJiang0/tushare-java,0,2
tushare-1.0.0,0RaymondJiang0/tushare-java,71ae80ffeff69a2c8e1f4b6e00c2f9a3049c8599,httpcore-4.4.4,httpcore-4.4.16,github.com/vinayaksh42/UncheckedException/tree/main/Match/httpcore-4.4.4#httpcore-4.4.16#tushare-1.0.0.json,2025-03-20 21:11:14.538929,github.com/0RaymondJiang0/tushare-java,0,1
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,4ea5efe9a61de48330da82ae56ae5915c5ce97df,gson-2.8.5,gson-2.12.1,github.com/vinayaksh42/UncheckedException/tree/main/Match/gson-2.8.5#gson-2.12.1#enrichment-patterns-1.0-SNAPSHOT.json,2025-03-20 21:12:11.410421,github.com/0xdecaf/beam-enrichment-patterns,0,7
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,4ea5efe9a61de48330da82ae56ae5915c5ce97df,beam-sdks-java-core-2.9.0,beam-sdks-java-core-2.63.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/beam-sdks-java-core-2.9.0#beam-sdks-java-core-2.63.0#enrichment-patterns-1.0-SNAPSHOT.json,2025-03-20 21:12:48.416692,github.com/0xdecaf/beam-enrichment-patterns,9,44
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,4ea5efe9a61de48330da82ae56ae5915c5ce97df,beam-sdks-java-io-google-cloud-platform-2.9.0,beam-sdks-java-io-google-cloud-platform-2.63.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/beam-sdks-java-io-google-cloud-platform-2.9.0#beam-sdks-java-io-google-cloud-platform-2.63.0#enrichment-patterns-1.0-SNAPSHOT.json,2025-03-20 21:12:59.199711,github.com/0xdecaf/beam-enrichment-patterns,6,6
enrichment-patterns-1.0-SNAPSHOT,0xdecaf/beam-enrichment-patterns,4ea5efe9a61de48330da82ae56ae5915c5ce97df,beam-sdks-java-io-jdbc-2.9.0,beam-sdks-java-io-jdbc-2.63.0,github.com/vinayaksh42/UncheckedException/tree/main/Match/beam-sdks-java-io-jdbc-2.9.0#beam-sdks-java-io-jdbc-2.63.0#enrichment-patterns-1.0-SNAPSHOT.json,2025-03-20 21:13:11.532243,github.com/0xdecaf/beam-enrichment-patterns,0,6
opslabJutil-3.1.1,0opslab/opslabJutil,c0b765da3a686d8203edf33dacea4c4ef77bd469,commons-net-3.9.0,commons-net-20030805.205232,github.com/vinayaksh42/UncheckedException/tree/main/Match/commons-net-3.9.0#commons-net-20030805.205232#opslabJutil-3.1.1.json,2025-03-20 21:14:09.596890,github.com/0opslab/opslabJutil,0,18
opslabJutil-3.1.1,0opslab/opslabJutil,c0b765da3a686d8203edf33dacea4c4ef77bd469,javax.servlet-api-3.1.0,javax.servlet-api-4.0.1,github.com/vinayaksh42/UncheckedException/tree/main/Match/javax.servlet-api-3.1.0#javax.servlet-api-4.0.1#opslabJutil-3.1.1.json,2025-03-20 21:14:16.569611,github.com/0opslab/opslabJutil,0,31
